region,quarter,spend,channel
North,Q1,1362.77,online
North,Q2,3434.92,print
North,Q3,1928.96,online
North,Q4,8098.07,online
South,Q1,4109.17,print
South,Q2,6363.89,radio
South,Q3,6571.87,radio
South,Q4,4353.01,radio
East,Q1,6812.79,print
East,Q2,6239.38,print
East,Q3,5925.22,print
East,Q4,1261.73,print
West,Q1,2738.16,print
West,Q2,8604.44,print
West,Q3,1794.84,radio
West,Q4,3938.68,radio
Central,Q1,3869.39,print
Central,Q2,3207.05,online
Central,Q3,8592.09,print
Central,Q4,1733.39,online
Coastal,Q1,6133.64,radio
Coastal,Q2,8768.75,online
Coastal,Q3,7294.36,online
Coastal,Q4,8910.57,radio
Highland,Q1,2641.64,radio
Highland,Q2,2657.26,online
Highland,Q3,7504.42,online
Highland,Q4,3628.48,online
Metro,Q1,7309.15,radio
Metro,Q2,1022.68,online
Metro,Q3,8900.22,radio
Metro,Q4,3005.23,online
