order_id,region,product,quarter,amount
O0001,South,Widget,Q3,235.5
O0002,East,Widget,Q1,539.63
O0003,North,Widget,Q1,212.4
O0004,North,Gadget,Q4,213.99
O0005,Central,Widget,Q2,634.36
O0006,Coastal,Gizmo,Q2,209.48
O0007,Coastal,Widget,Q1,354.34
O0008,Coastal,Gizmo,Q3,730.27
O0009,Metro,Widget,Q4,89.34
O0010,Central,Gizmo,Q2,640.02
O0011,North,Gadget,Q3,886.99
O0012,West,Widget,Q4,264.62
O0013,Coastal,Gadget,Q3,332.64
O0014,Central,Widget,Q2,490.04
O0015,West,Gadget,Q4,353.92
O0016,West,Gizmo,Q1,221.56
O0017,North,Gizmo,Q4,255.61
O0018,West,Gizmo,Q2,596.79
O0019,Highland,Doohickey,Q2,253.09
O0020,West,Gizmo,Q4,810.08
O0021,Highland,Gizmo,Q2,897.65
O0022,East,Doohickey,Q1,685.09
O0023,South,Gadget,Q2,717.03
O0024,Highland,Widget,Q4,355.82
O0025,Metro,Gizmo,Q1,618.65
O0026,South,Gizmo,Q3,118.17
O0027,Highland,Gadget,Q4,22.86
O0028,Central,Gadget,Q1,786.06
O0029,Central,Gadget,Q2,349.04
O0030,East,Widget,Q3,449.97
O0031,South,Gizmo,Q3,230.72
O0032,West,Widget,Q1,664.08
O0033,South,Gadget,Q2,600.58
O0034,East,Gizmo,Q4,868.64
O0035,West,Gizmo,Q4,895.73
O0036,Coastal,Doohickey,Q4,126.48
O0037,West,Widget,Q3,38.51
O0038,West,Gadget,Q1,82.47
O0039,North,Gadget,Q1,816.77
O0040,Coastal,Widget,Q2,265.06
O0041,Metro,Gadget,Q2,656.55
O0042,Metro,Gadget,Q4,730.6
O0043,West,Widget,Q1,599.9
O0044,Coastal,Doohickey,Q4,430.98
O0045,North,Widget,Q1,374.31
O0046,Coastal,Widget,Q2,188.6
O0047,Metro,Gadget,Q4,181.47
O0048,Metro,Gadget,Q1,409.96
O0049,South,Widget,Q1,872.72
O0050,West,Gadget,Q4,447.36
O0051,West,Doohickey,Q1,164.88
O0052,North,Doohickey,Q3,835.34
O0053,Metro,Gizmo,Q4,633.0
O0054,Metro,Gadget,Q2,281.1
O0055,North,Widget,Q3,70.31
O0056,Metro,Gadget,Q1,865.49
O0057,South,Gadget,Q1,543.63
O0058,West,Doohickey,Q1,848.6
O0059,West,Widget,Q1,388.92
O0060,Coastal,Gizmo,Q2,609.36
O0061,Coastal,Gadget,Q3,368.29
O0062,Central,Doohickey,Q3,837.54
O0063,South,Widget,Q4,566.62
O0064,South,Widget,Q2,465.18
O0065,East,Gizmo,Q1,793.76
O0066,Coastal,Gizmo,Q2,405.6
O0067,Central,Widget,Q3,839.95
O0068,South,Gadget,Q3,121.58
O0069,South,Gadget,Q3,267.95
O0070,West,Gizmo,Q2,625.0
O0071,Central,Doohickey,Q3,816.7
O0072,North,Widget,Q4,749.83
O0073,North,Widget,Q3,698.58
O0074,Central,Gadget,Q4,505.48
O0075,Highland,Widget,Q1,86.21
O0076,East,Widget,Q3,532.61
O0077,East,Doohickey,Q2,56.81
O0078,Coastal,Widget,Q3,204.87
O0079,West,Widget,Q3,706.5
O0080,Highland,Gadget,Q2,780.85
O0081,East,Doohickey,Q1,177.84
O0082,Coastal,Doohickey,Q2,254.79
O0083,South,Doohickey,Q1,775.56
O0084,West,Gadget,Q4,327.7
O0085,West,Gadget,Q1,600.83
O0086,Highland,Gizmo,Q3,780.63
O0087,Central,Gizmo,Q4,617.98
O0088,Coastal,Widget,Q1,791.79
O0089,Central,Gadget,Q3,53.67
O0090,Highland,Gizmo,Q3,404.03
