order_id,region,return_reason,refund
O0029,Central,quality,191.83
O0170,Metro,damaged,207.23
O0222,Metro,wrong_item,643.14
O0007,Coastal,wrong_item,250.49
O0034,East,quality,607.5
O0004,North,damaged,140.44
O0092,Highland,late,283.49
O0203,Highland,late,659.67
O0202,West,quality,412.6
O0061,Coastal,damaged,201.31
O0151,Coastal,damaged,344.07
O0083,South,late,702.57
O0005,Central,damaged,503.19
O0045,North,late,312.55
O0068,South,quality,82.29
O0014,Central,quality,457.72
O0033,South,damaged,591.09
O0190,Metro,late,30.69
O0108,West,wrong_item,79.3
O0135,West,quality,67.13
O0030,East,damaged,303.76
O0191,West,late,281.36
O0017,North,late,201.18
O0122,Highland,quality,765.0
O0115,Highland,damaged,61.56
O0200,Metro,late,160.8
O0093,South,late,514.03
O0132,Coastal,late,676.82
O0152,Coastal,late,129.99
O0028,Central,wrong_item,615.61
O0116,Highland,quality,206.37
O0129,North,damaged,106.69
O0057,South,wrong_item,374.07
O0158,North,quality,389.75
O0012,West,late,173.54
O0187,North,late,60.15
O0201,Highland,damaged,739.45
O0169,South,wrong_item,219.62
O0134,Central,damaged,710.17
O0078,Coastal,late,147.83
O0118,North,quality,18.71
O0165,Highland,quality,294.47
O0008,Coastal,wrong_item,640.79
O0016,West,damaged,149.02
O0123,North,damaged,60.23
O0103,East,quality,179.77
O0110,Highland,late,352.53
O0176,Central,quality,456.84
O0211,Central,damaged,202.49
O0126,Coastal,late,257.63
O0183,South,wrong_item,337.18
O0114,Coastal,late,101.42
O0019,Highland,damaged,189.49
O0021,Highland,quality,527.68
O0229,North,quality,37.82
O0156,West,wrong_item,253.23
O0038,West,late,44.21
O0218,East,damaged,417.48
O0224,Coastal,quality,37.76
O0071,Central,late,643.46
O0160,Metro,quality,273.37
O0163,North,quality,473.13
O0150,West,quality,147.75
O0141,Central,late,236.31
O0084,West,quality,300.18
O0098,North,late,111.51
O0153,Central,damaged,407.02
O0136,Central,quality,248.06
O0076,East,quality,498.13
O0117,West,late,498.56
